time,seconds_elapsed,z,y,x
1782776465928816000,0.172816162109375,-0.8484918475151062,-0.7739662528038025,-0.7092145681381226
1782776465938816300,0.182816162109375,-1.0421360731124878,-0.902247965335846,-1.0225883722305298
1782776465948805400,0.192805419921875,-1.2272282838821411,-0.9486737251281738,-1.3292428255081177
1782776465958835700,0.202835693359375,-1.3530665636062622,-0.9224064946174622,-1.5357152223587036
1782776465968794400,0.21279443359375,-1.4373658895492554,-0.8130616545677185,-1.5925257205963135
1782776465978825000,0.222824951171875,-1.4782938957214355,-0.6811147332191467,-1.50211763381958
1782776465988813800,0.232813720703125,-1.4538593292236328,-0.5674937963485718,-1.3066407442092896
1782776465998815000,0.24281494140625,-1.3451253175735474,-0.43676865100860596,-1.035416603088379
1782776466008802800,0.252802734375,-1.171028733253479,-0.2535090744495392,-0.7214318513870239
1782776466018834700,0.262834716796875,-0.9627236127853394,-0.03726277872920036,-0.3933972120285034
1782776466028822300,0.272822265625,-0.7531968355178833,0.1771509200334549,-0.06841690838336945
1782776466038823700,0.28282373046875,-0.5900958180427551,0.31642818450927734,0.21380282938480377
1782776466048811500,0.2928115234375,-0.5070181488990784,0.34147366881370544,0.4196644127368927
1782776466058842000,0.302842041015625,-0.4789183437824249,0.25595253705978394,0.5369505286216736
1782776466068800300,0.31280029296875,-0.504574716091156,0.09285151958465576,0.5650503635406494
1782776466078830800,0.322830810546875,-0.5736024379730225,-0.07941248267889023,0.5253441333770752
1782776466088819700,0.33281982421875,-0.6737843751907349,-0.20463985204696655,0.4386012554168701
1782776466098820000,0.342820068359375,-0.79840087890625,-0.2535090744495392,0.3286454975605011
1782776466108809000,0.35280908203125,-0.9334021210670471,-0.23640485107898712,0.2125810980796814
1782776466118839600,0.362839599609375,-1.054964303970337,-0.16310101747512817,0.10445795953273773
1782776466128798000,0.3727978515625,-1.1551461219787598,-0.05192354694008827,0.009162978269159794
1782776466138828800,0.382828857421875,-1.225395679473877,0.08124507963657379,-0.05742133408784866
1782776466148817400,0.3928173828125,-1.2571606636047363,0.2125810980796814,-0.07880161702632904
1782776466158817800,0.40281787109375,-1.2571606636047363,0.3066543638706207,-0.04948008432984352
1782776466168806700,0.412806640625,-1.2308934926986694,0.3445279896259308,0.022602014243602753
1782776466178837000,0.4228369140625,-1.1808024644851685,0.3494149148464203,0.11850785464048386
1782776466188795600,0.432795654296875,-1.122159481048584,0.3274237811565399,0.21074850857257843
1782776466198826000,0.442825927734375,-1.0708467960357666,0.2730567753314972,0.2736676335334778
1782776466208814800,0.45281494140625,-1.0207557678222656,0.21502456068992615,0.3066543638706207
1782776466218815200,0.462815185546875,-0.9608910083770752,0.17959438264369965,0.3194825351238251
1782776466228804000,0.47280419921875,-0.9101892113685608,0.16004669666290283,0.30543261766433716
1782776466238834700,0.482834716796875,-0.8729264140129089,0.14538592100143433,0.26083946228027344
1782776466248793000,0.49279296875,-0.8405506014823914,0.13805554807186127,0.19914206862449646
1782776466258823700,0.50282373046875,-0.8124507665634155,0.1411098688840866,0.13439035415649414
1782776466268812800,0.512812744140625,-0.789237916469574,0.15454891324043274,0.07330382615327835
1782776466278843400,0.522843505859375,-0.7751879692077637,0.16554448008537292,0.025656340643763542
1782776466288801500,0.532801513671875,-0.7648032903671265,0.17348572611808777,-0.0012217304902151227
1782776466298832100,0.54283203125,-0.7648032903671265,0.17043140530586243,-0.01466076634824276
1782776466308821000,0.552821044921875,-0.7666358947753906,0.15821409225463867,-0.024434609338641167
1782776466318821400,0.5628212890625,-0.7556403279304504,0.14294247329235077,-0.02382374368607998
1782776466328810200,0.572810302734375,-0.7067710757255554,0.11972958594560623,-0.009773843921720982
1782776466338841600,0.582841552734375,-0.6548475623130798,0.10812314599752426,0.012828170321881771
1782776466348799200,0.59279931640625,-0.5974262356758118,0.09834930300712585,0.04337143152952194
1782776466358830600,0.60283056640625,-0.5461135506629944,0.10323622822761536,0.06902777403593063
1782776466368819000,0.61281884765625,-0.5027421116828918,0.12522737681865692,0.08429940044879913
1782776466378819300,0.6228193359375,-0.4648684561252594,0.15882496535778046,0.08185594528913498
1782776466388807400,0.632807373046875,-0.44287729263305664,0.19486601650714874,0.05925392732024193
1782776466398839000,0.642839111328125,-0.43615779280662537,0.2174680233001709,0.00733038317412138
1782776466408796700,0.652796630859375,-0.4349360466003418,0.23396138846874237,-0.05375614017248154
1782776466418828000,0.662828125,-0.4300491213798523,0.24678955972194672,-0.10506882518529892
1782776466428816100,0.672816162109375,-0.4202753007411957,0.24923302233219147,-0.13988813757896423
1782776466438817000,0.682817138671875,-0.3988949954509735,0.24923302233219147,-0.15943582355976105
1782776466448805400,0.692805419921875,-0.36713001132011414,0.24129177629947662,-0.17776179313659668
1782776466458836700,0.702836669921875,-0.3219259977340698,0.22418753802776337,-0.19486601650714874
1782776466468794400,0.71279443359375,-0.2638937830924988,0.2028072625398636,-0.2070833146572113
1782776466478825700,0.72282568359375,-0.22418753802776337,0.16920967400074005,-0.2168571650981903
