time,seconds_elapsed,z,y,x
1782778820817071600,0.180071533203125,0.36102136969566345,0.5516113042831421,0.8973610401153564
1782778820827065600,0.190065673828125,0.36102136969566345,0.5516113042831421,0.8973610401153564
1782778820837091000,0.200091064453125,0.36102136969566345,0.5516113042831421,0.8973610401153564
1782778820847054600,0.2100546875,-0.40256020426750183,-1.7446311712265015,-1.7287486791610718
1782778820857079800,0.220079833984375,-0.6951646208763123,-1.351233959197998,-1.2412781715393066
1782778820867074300,0.23007421875,-0.79840087890625,-0.8539896011352539,-1.38849675655365
1782778820877069600,0.240069580078125,-0.769079327583313,-0.5485569834709167,-1.2651019096374512
1782778820887063000,0.25006298828125,-0.6866125464439392,-0.27550023794174194,-0.9468411207199097
1782778820897093600,0.26009375,-0.5619960427284241,0.048258353024721146,-0.5094616413116455
1782778820907052300,0.27005224609375,-0.37690386176109314,0.32070425152778625,-0.012828170321881771
1782778820917085200,0.280085205078125,-0.14844025671482086,0.5345070958137512,0.4538728892803192
1782778820927072300,0.290072265625,0.04092797264456749,0.6536257863044739,0.7849618196487427
1782778820937074200,0.30007421875,0.1563815027475357,0.6065891981124878,0.9059131741523743
1782778820947061200,0.310061279296875,0.182648703455925,0.4691445231437683,0.7422012686729431
1782778820957091300,0.32009130859375,-0.0354301854968071,0.4703662395477295,0.16920967400074005
1782778820967050200,0.33005029296875,-0.23640485107898712,0.4184426963329315,-0.2541199326515198
1782778820977082600,0.34008251953125,-0.2590068578720093,0.34086281061172485,-0.6261368989944458
1782778820987069700,0.350069580078125,-0.16493362188339233,0.192422553896904,-0.8619308471679688
1782778820997100300,0.360100341796875,-0.03481931984424591,0.07941248267889023,-0.8515461683273315
1782778821007058700,0.37005859375,0.10262536257505417,0.13561208546161652,-0.7079927921295166
1782778821017089300,0.38008935546875,0.21991148591041565,0.25534167885780334,-0.5155702829360962
1782778821027047700,0.390047607421875,0.2938261926174164,0.4447098970413208,-0.2669481039047241
1782778821037079300,0.400079345703125,0.31459560990333557,0.5876523852348328,0.012217304669320583
1782778821047067400,0.4100673828125,0.303600013256073,0.5858197808265686,0.2834414839744568
1782778821057068300,0.420068359375,0.2883284091949463,0.47830748558044434,0.5229006409645081
1782778821067056400,0.430056396484375,0.28955012559890747,0.36102136969566345,0.6774495840072632
1782778821077088000,0.440087890625,0.2816088795661926,0.2822197377681732,0.7037167549133301
1782778821087075800,0.450075927734375,0.29077184200286865,0.28038713335990906,0.6261368989944458
1782778821097075500,0.460075439453125,0.31642818450927734,0.34636059403419495,0.5290092825889587
1782778821107065000,0.470065185546875,0.35063666105270386,0.43676865100860596,0.4740314185619354
1782778821117084400,0.48008447265625,0.3854559659957886,0.5100724697113037,0.46670106053352356
1782778821127053800,0.4900537109375,0.4178318381309509,0.5650503635406494,0.4758640229701996
1782778821137084200,0.500084228515625,0.42577308416366577,0.6316346526145935,0.5027421116828918
1782778821147073500,0.510073486328125,0.38606682419776917,0.7061602473258972,0.5662720799446106
1782778821157350100,0.52035009765625,0.33719760179519653,0.7238753437995911,0.6224716901779175
1782778821167070500,0.530070556640625,0.2968805134296417,0.6872233748435974,0.6450737118721008
1782778821177092600,0.540092529296875,0.24923302233219147,0.6053674817085266,0.6389650702476501
1782778821187051300,0.55005126953125,0.19425514340400696,0.4960225820541382,0.6047565937042236
1782778821197081600,0.56008154296875,0.13805554807186127,0.37629300355911255,0.5473352670669556
1782778821207070700,0.57007080078125,0.07269296050071716,0.28649580478668213,0.49357911944389343
1782778821217073000,0.580072998046875,0.04398229718208313,0.2376265823841095,0.46792277693748474
1782778821227060000,0.59006005859375,0.06536258012056351,0.21868975460529327,0.4508185386657715
1782778821236894500,0.59989453125,0.09407325088977814,0.22602014243602753,0.4349360466003418
1782778821247049000,0.610049072265625,0.12461651116609573,0.2938261926174164,0.44165557622909546
1782778821257080000,0.620080078125,0.1820378452539444,0.4758640229701996,0.45204028487205505
1782778821267068400,0.630068359375,0.252287358045578,0.7214318513870239,0.4386012554168701
1782778821277069600,0.640069580078125,0.3243694305419922,0.9431759119033813,0.45875978469848633
1782778821287057700,0.6500576171875,0.45142942667007446,1.06657075881958,0.5320636034011841
1782778821297087700,0.660087646484375,0.5687155723571777,1.0836749076843262,0.5595525503158569
1782778821307046400,0.67004638671875,0.6291912198066711,0.9297369122505188,0.5595525503158569
1782778821317079600,0.68007958984375,0.6444628238677979,0.44593164324760437,0.5149593949317932
1782778821327066000,0.690066162109375,0.6542366743087769,-0.2785545587539673,0.32070425152778625
1782778821337097200,0.70009716796875,0.5992587804794312,-0.7189884185791016,0.09407325088977814
1782778821347055000,0.71005517578125,0.3536909818649292,-0.827111542224884,-0.0959058403968811
1782778821357085200,0.720085205078125,0.030543262138962746,-0.8729264140129089,-0.4715879559516907
1782778821367074600,0.730074462890625,-0.1563815027475357,-0.6151412725448608,-0.9920451641082764
1782778821377074400,0.740074462890625,-0.21074850857257843,-0.3274237811565399,-1.6701055765151978
1782778821397095400,0.760095458984375,-0.342695415019989,0.05619960278272629,-1.2302825450897217
1782778821407052500,0.770052490234375,-0.15943582355976105,0.04581489413976669,-0.4544837474822998
1782778821417084200,0.780084228515625,0.13805554807186127,-0.26633724570274353,0.2968805134296417
1782778821427072300,0.790072265625,0.2877175211906433,-0.770301103591919,0.7391469478607178
1782778821437072000,0.80007177734375,0.22968533635139465,-1.168585181236267,0.8753699064254761
1782778821447061200,0.810061279296875,0.08918632566928864,-1.4282029867172241,0.7904596328735352
1782778821457091300,0.82009130859375,-0.07635815441608429,-1.567480206489563,0.6249151229858398
1782778821467050200,0.83005029296875,-0.2431243658065796,-1.6242907047271729,0.42638394236564636
1782778821477080600,0.84008056640625,-0.36224308609962463,-1.5583171844482422,0.18875735998153687
1782778821487069700,0.850069580078125,-0.4538728892803192,-1.33168625831604,-0.06414084881544113
1782778821497069600,0.860069580078125,-0.5436700582504272,-1.035416603088379,-0.303600013256073
1782778821507058700,0.87005859375,-0.6450737118721008,-0.7660250067710876,-0.48258355259895325
1782778821517089300,0.88008935546875,-0.7428121566772461,-0.5247332453727722,-0.6017022728919983
